Report Date,Health District,Number of Cases,Number of Hospitalizations,Number of Deaths
03/26/2023,Loudoun,98223,2032,448
03/26/2023,Prince William,145284,4078,949
03/25/2023,Alexandria,45690,832,232
03/25/2023,Arlington,66926,1368,369
03/25/2023,Fairfax,268604,5335,1792
03/25/2023,Loudoun,98214,2032,448
03/25/2023,Prince William,145278,4078,949
03/24/2023,Alexandria,45683,832,232
03/24/2023,Arlington,66909,1368,369
03/24/2023,Fairfax,268549,5334,1792
03/24/2023,Loudoun,98194,2026,447
03/24/2023,Prince William,145253,4079,949
03/23/2023,Alexandria,45680,832,232
03/23/2023,Arlington,66895,1368,369
03/23/2023,Fairfax,268491,5334,1792
03/23/2023,Loudoun,98173,2025,447
03/23/2023,Prince William,145227,4079,949
03/22/2023,Alexandria,45674,832,232
03/22/2023,Arlington,66887,1367,369
03/22/2023,Fairfax,268437,5334,1792
03/22/2023,Loudoun,98150,2022,446
03/22/2023,Prince William,145199,4078,949
03/21/2023,Alexandria,45665,832,232
03/21/2023,Arlington,66881,1367,369
03/21/2023,Fairfax,268374,5333,1792
03/21/2023,Loudoun,98127,2019,446
03/21/2023,Prince William,145172,4077,949
03/20/2023,Alexandria,45658,832,232
03/20/2023,Arlington,66877,1367,369
03/20/2023,Fairfax,268334,5332,1792
03/20/2023,Loudoun,98116,2017,446
03/20/2023,Prince William,145144,4077,950
03/19/2023,Alexandria,45655,832,232
03/19/2023,Arlington,66874,1367,369
03/19/2023,Fairfax,268303,5331,1792
03/19/2023,Loudoun,98108,2017,446
03/19/2023,Prince William,145137,4077,950
03/18/2023,Alexandria,45651,832,232
03/18/2023,Arlington,66868,1367,369
03/18/2023,Fairfax,268278,5330,1792
03/18/2023,Loudoun,98097,2017,446
03/18/2023,Prince William,145133,4077,950
03/17/2023,Alexandria,45647,832,232
03/17/2023,Arlington,66856,1367,369
03/17/2023,Fairfax,268224,5329,1792
03/17/2023,Loudoun,98081,2013,446
03/17/2023,Prince William,145103,4077,950
03/16/2023,Alexandria,45643,832,232
03/16/2023,Arlington,66849,1366,369
03/16/2023,Fairfax,268184,5328,1792
03/16/2023,Loudoun,98062,2011,446
03/16/2023,Prince William,145076,4077,949
03/15/2023,Alexandria,45637,832,232
03/15/2023,Arlington,66820,1366,369
03/15/2023,Fairfax,268122,5328,1792
03/15/2023,Loudoun,98035,2010,446
03/15/2023,Prince William,145051,4077,949
03/14/2023,Alexandria,45628,832,232
03/14/2023,Arlington,66812,1366,369
03/14/2023,Fairfax,268089,5328,1792
03/14/2023,Loudoun,98014,2010,446
03/14/2023,Prince William,145027,4077,949
03/13/2023,Alexandria,45620,832,232
03/13/2023,Arlington,66808,1366,369
03/13/2023,Fairfax,268067,5326,1792
03/13/2023,Loudoun,98002,2009,446
03/13/2023,Prince William,145013,4076,949
03/07/2023,Alexandria,45583,832,232
03/07/2023,Arlington,66715,1366,369
03/07/2023,Fairfax,267796,5325,1792
03/07/2023,Loudoun,97880,2005,446
03/07/2023,Prince William,144882,4077,949
03/06/2023,Alexandria,45578,832,232
03/06/2023,Arlington,66705,1360,368
03/06/2023,Fairfax,267733,5325,1791
03/06/2023,Loudoun,97847,2002,446
03/06/2023,Prince William,144850,4078,949
03/05/2023,Alexandria,45568,832,232
03/05/2023,Arlington,66697,1360,368
03/05/2023,Fairfax,267705,5325,1791
03/05/2023,Loudoun,97829,2002,446
03/05/2023,Prince William,144831,4078,949
03/04/2023,Alexandria,45562,832,232
03/04/2023,Arlington,66690,1360,368
03/04/2023,Fairfax,267670,5325,1791
03/04/2023,Loudoun,97812,2002,446
03/04/2023,Prince William,144820,4078,949
03/03/2023,Alexandria,45553,831,232
03/03/2023,Arlington,66679,1358,368
03/03/2023,Fairfax,267602,5324,1791
03/03/2023,Loudoun,97784,1999,446
03/03/2023,Prince William,144779,4078,949
03/02/2023,Alexandria,45544,831,232
03/02/2023,Arlington,66662,1358,368
03/02/2023,Fairfax,267499,5322,1791
03/02/2023,Loudoun,97755,1999,446
03/02/2023,Prince William,144723,4078,948
03/01/2023,Alexandria,45536,831,233
03/01/2023,Arlington,66653,1358,368
03/01/2023,Fairfax,267416,5322,1791
03/01/2023,Loudoun,97730,1999,446
03/01/2023,Prince William,144682,4078,948
02/26/2023,Alexandria,45500,830,233
02/26/2023,Arlington,66605,1355,368
02/26/2023,Fairfax,267250,5322,1791
02/26/2023,Loudoun,97629,1989,446
02/26/2023,Prince William,144561,4079,948
02/25/2023,Alexandria,45496,830,233
02/25/2023,Arlington,66597,1355,368
02/25/2023,Fairfax,267217,5322,1791
02/25/2023,Loudoun,97612,1989,446
02/25/2023,Prince William,144534,4078,948
02/24/2023,Alexandria,45474,830,233
02/24/2023,Arlington,66572,1355,368
02/24/2023,Fairfax,267144,5322,1792
02/24/2023,Loudoun,97567,1988,446
02/24/2023,Prince William,144504,4077,948
02/23/2023,Alexandria,45462,830,233
02/23/2023,Arlington,66552,1354,368
02/23/2023,Fairfax,267060,5321,1792
02/23/2023,Loudoun,97542,1985,446
02/23/2023,Prince William,144461,4077,948
02/22/2023,Alexandria,45455,830,233
02/22/2023,Arlington,66533,1353,368
02/22/2023,Fairfax,266939,5321,1791
02/22/2023,Loudoun,97497,1985,446
02/22/2023,Prince William,144404,4077,948
02/21/2023,Alexandria,45440,830,233
02/21/2023,Arlington,66517,1352,368
02/21/2023,Fairfax,266848,5321,1789
02/21/2023,Loudoun,97415,1984,446
02/21/2023,Prince William,144332,4077,948
02/20/2023,Alexandria,45432,830,233
02/20/2023,Arlington,66513,1352,368
02/20/2023,Fairfax,266807,5321,1789
02/20/2023,Loudoun,97390,1984,446
02/20/2023,Prince William,144297,4076,948
02/19/2023,Alexandria,45426,830,233
02/19/2023,Arlington,66501,1352,368
02/19/2023,Fairfax,266747,5320,1789
02/19/2023,Loudoun,97368,1984,446
02/19/2023,Prince William,144258,4076,948
02/18/2023,Alexandria,45404,830,233
02/18/2023,Arlington,66485,1352,368
02/18/2023,Fairfax,266683,5319,1789
02/18/2023,Loudoun,97342,1984,446
02/18/2023,Prince William,144236,4076,948
02/17/2023,Alexandria,45399,830,233
02/17/2023,Arlington,66454,1351,368
02/17/2023,Fairfax,266612,5318,1788
02/17/2023,Loudoun,97317,1979,446
02/17/2023,Prince William,144206,4076,948
02/16/2023,Alexandria,45388,830,233
02/16/2023,Arlington,66438,1351,368
02/16/2023,Fairfax,266507,5318,1788
02/16/2023,Loudoun,97287,1978,446
02/16/2023,Prince William,144156,4076,948
02/15/2023,Alexandria,45371,830,233
02/15/2023,Arlington,66405,1350,368
02/15/2023,Fairfax,266367,5315,1788
02/15/2023,Loudoun,97241,1976,446
02/15/2023,Prince William,144129,4077,948
02/14/2023,Alexandria,45353,830,233
02/14/2023,Arlington,66396,1343,368
02/14/2023,Fairfax,266197,5314,1786
02/14/2023,Loudoun,97200,1977,446
02/14/2023,Prince William,144064,4076,948
02/13/2023,Alexandria,45346,830,233
02/13/2023,Arlington,66379,1342,368
02/13/2023,Fairfax,266098,5313,1785
02/13/2023,Loudoun,97162,1975,446
02/13/2023,Prince William,143979,4075,948
02/12/2023,Alexandria,45333,830,233
02/12/2023,Arlington,66370,1342,368
02/12/2023,Fairfax,266056,5312,1785
02/12/2023,Loudoun,97134,1974,446
02/12/2023,Prince William,143939,4075,948
02/11/2023,Alexandria,45321,830,233
02/11/2023,Arlington,66348,1342,368
02/11/2023,Fairfax,265994,5312,1785
02/11/2023,Loudoun,97106,1974,446
02/11/2023,Prince William,143902,4075,948
02/10/2023,Alexandria,45310,830,233
02/10/2023,Arlington,66320,1342,368
02/10/2023,Fairfax,265855,5311,1784
02/10/2023,Loudoun,97059,1974,444
02/10/2023,Prince William,143829,4075,946
02/09/2023,Alexandria,45295,830,233
02/09/2023,Arlington,66290,1342,369
02/09/2023,Fairfax,265684,5309,1776
02/09/2023,Loudoun,97019,1971,444
02/09/2023,Prince William,143752,4076,944
02/08/2023,Alexandria,45274,830,232
02/08/2023,Arlington,66271,1342,369
02/08/2023,Fairfax,265577,5308,1775
02/08/2023,Loudoun,96979,1971,443
02/08/2023,Prince William,143682,4076,943
02/07/2023,Alexandria,45269,830,232
02/07/2023,Arlington,66237,1342,368
02/07/2023,Fairfax,265428,5307,1775
02/07/2023,Loudoun,96917,1971,443
02/07/2023,Prince William,143602,4076,942
02/06/2023,Alexandria,45252,830,232
02/06/2023,Arlington,66200,1341,367
02/06/2023,Fairfax,265306,5306,1769
02/06/2023,Loudoun,96877,1970,442
02/06/2023,Prince William,143513,4075,940
02/05/2023,Alexandria,45245,830,232
02/05/2023,Arlington,66184,1340,367
02/05/2023,Fairfax,265225,5306,1769
02/05/2023,Loudoun,96847,1970,442
02/05/2023,Prince William,143456,4075,940
02/04/2023,Alexandria,45233,830,232
02/04/2023,Arlington,66153,1340,367
02/04/2023,Fairfax,265155,5306,1769
02/04/2023,Loudoun,96823,1970,442
02/04/2023,Prince William,143419,4075,940
02/03/2023,Alexandria,45210,830,232
02/03/2023,Arlington,66121,1340,367
02/03/2023,Fairfax,265027,5304,1767
02/03/2023,Loudoun,96780,1970,442
02/03/2023,Prince William,143336,4075,936
02/02/2023,Alexandria,45192,830,231
02/02/2023,Arlington,66086,1340,367
02/02/2023,Fairfax,264878,5301,1763
02/02/2023,Loudoun,96732,1970,441
02/02/2023,Prince William,143240,4075,933
02/01/2023,Alexandria,45177,830,228
02/01/2023,Arlington,66054,1339,367
02/01/2023,Fairfax,264745,5300,1750
02/01/2023,Loudoun,96666,1966,440
02/01/2023,Prince William,143141,4075,926
01/31/2023,Alexandria,45148,830,226
01/31/2023,Arlington,66024,1331,366
01/31/2023,Fairfax,264590,5300,1743
01/31/2023,Loudoun,96604,1964,436
01/31/2023,Prince William,143033,4075,921
01/30/2023,Alexandria,45131,830,226
01/30/2023,Arlington,66005,1331,366
01/30/2023,Fairfax,264451,5300,1743
01/30/2023,Loudoun,96550,1961,436
01/30/2023,Prince William,142931,4075,921
01/29/2023,Alexandria,45113,830,226
01/29/2023,Arlington,65991,1331,366
01/29/2023,Fairfax,264374,5299,1743
01/29/2023,Loudoun,96513,1961,436
01/29/2023,Prince William,142862,4075,921
01/28/2023,Alexandria,45101,830,226
01/28/2023,Arlington,65955,1331,366
01/28/2023,Fairfax,264266,5298,1743
01/28/2023,Loudoun,96483,1961,436
01/28/2023,Prince William,142810,4075,921
01/27/2023,Alexandria,45080,829,226
01/27/2023,Arlington,65903,1330,366
01/27/2023,Fairfax,264080,5298,1743
01/27/2023,Loudoun,96427,1960,436
01/27/2023,Prince William,142707,4074,921
01/26/2023,Alexandria,45061,829,226
01/26/2023,Arlington,65870,1322,365
01/26/2023,Fairfax,263896,5295,1742
01/26/2023,Loudoun,96384,1959,436
01/26/2023,Prince William,142588,4074,921
01/25/2023,Alexandria,45034,829,226
01/25/2023,Arlington,65808,1322,365
01/25/2023,Fairfax,263658,5295,1742
01/25/2023,Loudoun,96317,1958,436
01/25/2023,Prince William,142467,4074,921
01/24/2023,Alexandria,45017,828,226
01/24/2023,Arlington,65759,1322,365
01/24/2023,Fairfax,263463,5294,1740
01/24/2023,Loudoun,96257,1955,436
01/24/2023,Prince William,142336,4073,921
01/23/2023,Alexandria,44989,827,225
01/23/2023,Arlington,65735,1321,365
01/23/2023,Fairfax,263263,5295,1740
01/23/2023,Loudoun,96179,1949,436
01/23/2023,Prince William,142184,4074,921
01/22/2023,Alexandria,44966,826,225
01/22/2023,Arlington,65707,1321,365
01/22/2023,Fairfax,263157,5294,1740
01/22/2023,Loudoun,96145,1949,436
01/22/2023,Prince William,142121,4074,921
01/21/2023,Alexandria,44945,826,225
01/21/2023,Arlington,65675,1321,365
01/21/2023,Fairfax,263051,5293,1740
01/21/2023,Loudoun,96109,1949,436
01/21/2023,Prince William,142065,4074,921
01/20/2023,Alexandria,44902,826,224
01/20/2023,Arlington,65633,1320,365
01/20/2023,Fairfax,262866,5292,1739
01/20/2023,Loudoun,96032,1949,434
01/20/2023,Prince William,141951,4074,921
01/19/2023,Alexandria,44884,826,224
01/19/2023,Arlington,65584,1320,365
01/19/2023,Fairfax,262692,5292,1738
01/19/2023,Loudoun,95964,1946,434
01/19/2023,Prince William,141842,4074,921
01/18/2023,Alexandria,44850,826,224
01/18/2023,Arlington,65543,1320,364
01/18/2023,Fairfax,262404,5291,1737
01/18/2023,Loudoun,95887,1940,432
01/18/2023,Prince William,141711,4073,919
01/17/2023,Alexandria,44826,825,224
01/17/2023,Arlington,65493,1319,364
01/17/2023,Fairfax,262164,5291,1736
01/17/2023,Loudoun,95836,1936,431
01/17/2023,Prince William,141591,4073,919
01/16/2023,Alexandria,44815,824,224
01/16/2023,Arlington,65476,1319,364
01/16/2023,Fairfax,262071,5290,1735
01/16/2023,Loudoun,95789,1935,431
01/16/2023,Prince William,141523,4073,916
01/15/2023,Alexandria,44795,824,224
01/15/2023,Arlington,65457,1319,364
01/15/2023,Fairfax,261963,5288,1735
01/15/2023,Loudoun,95752,1935,431
01/15/2023,Prince William,141471,4073,916
01/14/2023,Alexandria,44755,824,224
01/14/2023,Arlington,65418,1319,364
01/14/2023,Fairfax,261818,5286,1735
01/14/2023,Loudoun,95700,1935,431
01/14/2023,Prince William,141401,4073,916
01/13/2023,Alexandria,44689,824,224
01/13/2023,Arlington,65368,1318,364
01/13/2023,Fairfax,261573,5286,1733
01/13/2023,Loudoun,95624,1932,431
01/13/2023,Prince William,141224,4073,916
01/12/2023,Alexandria,44637,823,223
01/12/2023,Arlington,65307,1318,363
01/12/2023,Fairfax,261352,5284,1732
01/12/2023,Loudoun,95529,1929,431
01/12/2023,Prince William,141084,4072,914
01/11/2023,Alexandria,44606,823,222
01/11/2023,Arlington,65265,1318,363
01/11/2023,Fairfax,261120,5282,1731
01/11/2023,Loudoun,95452,1925,431
01/11/2023,Prince William,140930,4072,911
01/10/2023,Alexandria,44566,823,222
01/10/2023,Arlington,65226,1311,363
01/10/2023,Fairfax,260919,5280,1731
01/10/2023,Loudoun,95374,1923,430
01/10/2023,Prince William,140818,4072,911
01/09/2023,Alexandria,44527,823,221
01/09/2023,Arlington,65167,1311,363
01/09/2023,Fairfax,260624,5279,1730
01/09/2023,Loudoun,95265,1917,430
01/09/2023,Prince William,140632,4072,911
01/08/2023,Alexandria,44503,822,221
01/08/2023,Arlington,65138,1310,363
01/08/2023,Fairfax,260451,5279,1730
01/08/2023,Loudoun,95209,1917,430
01/08/2023,Prince William,140549,4071,911
01/07/2023,Alexandria,44470,822,221
01/07/2023,Arlington,65095,1310,363
01/07/2023,Fairfax,260240,5275,1730
01/07/2023,Loudoun,95136,1917,430
01/07/2023,Prince William,140461,4071,911
01/06/2023,Alexandria,44417,821,219
01/06/2023,Arlington,65032,1310,362
01/06/2023,Fairfax,259952,5275,1730
01/06/2023,Loudoun,95044,1911,430
01/06/2023,Prince William,140309,4071,910
01/05/2023,Alexandria,44384,821,219
01/05/2023,Arlington,64946,1310,362
01/05/2023,Fairfax,259627,5273,1729
01/05/2023,Loudoun,94925,1906,429
01/05/2023,Prince William,140093,4071,909
01/04/2023,Alexandria,44325,821,219
01/04/2023,Arlington,64867,1305,362
01/04/2023,Fairfax,259257,5271,1729
01/04/2023,Loudoun,94778,1901,429
01/04/2023,Prince William,139932,4071,908
01/02/2023,Alexandria,44247,821,219
01/02/2023,Arlington,64792,1302,362
01/02/2023,Fairfax,258767,5268,1729
01/02/2023,Loudoun,94622,1891,429
01/02/2023,Prince William,139678,4071,908
01/01/2023,Alexandria,44213,821,219
01/01/2023,Arlington,64767,1302,362
01/01/2023,Fairfax,258600,5267,1729
01/01/2023,Loudoun,94540,1890,429
01/01/2023,Prince William,139587,4071,908
12/31/2022,Alexandria,44188,821,219
12/31/2022,Arlington,64737,1302,362
12/31/2022,Fairfax,258373,5266,1729
12/31/2022,Loudoun,94460,1890,429
12/31/2022,Prince William,139466,4071,908
12/30/2022,Alexandria,44139,821,219
12/30/2022,Arlington,64693,1301,362
12/30/2022,Fairfax,257980,5266,1729
12/30/2022,Loudoun,94333,1888,428
12/30/2022,Prince William,139276,4071,908
12/29/2022,Alexandria,44093,821,219
12/29/2022,Arlington,64633,1301,362
12/29/2022,Fairfax,257590,5251,1726
12/29/2022,Loudoun,94205,1887,428
12/29/2022,Prince William,139072,4071,908
12/28/2022,Alexandria,44038,820,219
12/28/2022,Arlington,64578,1294,362
12/28/2022,Fairfax,257202,5236,1724
12/28/2022,Loudoun,94044,1883,428
12/28/2022,Prince William,138835,4070,909
12/27/2022,Alexandria,44006,820,219
12/27/2022,Arlington,64525,1289,360
12/27/2022,Fairfax,256951,5231,1723
12/27/2022,Loudoun,93950,1878,428
12/27/2022,Prince William,138705,4071,908
12/26/2022,Alexandria,43977,819,219
12/26/2022,Arlington,64497,1289,360
12/26/2022,Fairfax,256833,5231,1723
12/26/2022,Loudoun,93889,1878,428
12/26/2022,Prince William,138662,4071,908
12/25/2022,Alexandria,43960,819,219
12/25/2022,Arlington,64473,1289,360
12/25/2022,Fairfax,256642,5230,1723
12/25/2022,Loudoun,93815,1877,428
12/25/2022,Prince William,138593,4070,908
12/24/2022,Alexandria,43924,819,219
12/24/2022,Arlington,64434,1289,360
12/24/2022,Fairfax,256424,5229,1723
12/24/2022,Loudoun,93749,1876,428
12/24/2022,Prince William,138485,4070,908
12/23/2022,Alexandria,43880,819,219
12/23/2022,Arlington,64382,1288,360
12/23/2022,Fairfax,256140,5229,1722
12/23/2022,Loudoun,93642,1875,427
12/23/2022,Prince William,138359,4070,908
12/22/2022,Alexandria,43817,819,219
12/22/2022,Arlington,64304,1288,360
12/22/2022,Fairfax,255820,5227,1722
12/22/2022,Loudoun,93523,1868,427
12/22/2022,Prince William,138197,4070,908
12/21/2022,Alexandria,43765,819,218
12/21/2022,Arlington,64229,1283,360
12/21/2022,Fairfax,255473,5221,1722
12/21/2022,Loudoun,93403,1867,427
12/21/2022,Prince William,137998,4070,907
12/20/2022,Alexandria,43685,819,218
12/20/2022,Arlington,64119,1282,360
12/20/2022,Fairfax,255035,5217,1718
12/20/2022,Loudoun,93272,1865,427
12/20/2022,Prince William,137767,4071,908
12/19/2022,Alexandria,43657,819,218
12/19/2022,Arlington,64073,1280,360
12/19/2022,Fairfax,254853,5216,1718
12/19/2022,Loudoun,93162,1858,427
12/19/2022,Prince William,137623,4071,908
12/18/2022,Alexandria,43636,818,218
12/18/2022,Arlington,64052,1280,360
12/18/2022,Fairfax,254666,5215,1718
12/18/2022,Loudoun,93086,1857,427
12/18/2022,Prince William,137532,4071,908
12/17/2022,Alexandria,43592,818,218
12/17/2022,Arlington,64001,1280,360
12/17/2022,Fairfax,254475,5214,1718
12/17/2022,Loudoun,93022,1857,427
12/17/2022,Prince William,137444,4071,908
12/16/2022,Alexandria,43529,818,218
12/16/2022,Arlington,63924,1279,359
12/16/2022,Fairfax,254242,5212,1717
12/16/2022,Loudoun,92926,1856,427
12/16/2022,Prince William,137317,4070,907
12/15/2022,Alexandria,43478,818,216
12/15/2022,Arlington,63861,1278,359
12/15/2022,Fairfax,253907,5209,1717
12/15/2022,Loudoun,92820,1855,426
12/15/2022,Prince William,137172,4069,907
12/14/2022,Alexandria,43429,817,216
12/14/2022,Arlington,63790,1277,359
12/14/2022,Fairfax,253640,5201,1716
12/14/2022,Loudoun,92721,1853,426
12/14/2022,Prince William,137021,4069,907
12/13/2022,Alexandria,43360,817,215
12/13/2022,Arlington,63694,1272,359
12/13/2022,Fairfax,253283,5182,1714
12/13/2022,Loudoun,92609,1850,425
12/13/2022,Prince William,136855,4069,906
12/12/2022,Alexandria,43325,816,215
12/12/2022,Arlington,63657,1266,358
12/12/2022,Fairfax,253031,5178,1711
12/12/2022,Loudoun,92532,1844,425
12/12/2022,Prince William,136756,4069,906
12/11/2022,Alexandria,43306,816,215
12/11/2022,Arlington,63622,1265,358
12/11/2022,Fairfax,252828,5177,1711
12/11/2022,Loudoun,92474,1843,425
12/11/2022,Prince William,136664,4069,906
12/10/2022,Alexandria,43272,816,215
12/10/2022,Arlington,63572,1265,358
12/10/2022,Fairfax,252679,5176,1711
12/10/2022,Loudoun,92424,1842,425
12/10/2022,Prince William,136621,4068,906
12/09/2022,Alexandria,43219,814,215
12/09/2022,Arlington,63518,1265,358
12/09/2022,Fairfax,252438,5172,1710
12/09/2022,Loudoun,92324,1842,425
12/09/2022,Prince William,136494,4093,906
12/08/2022,Alexandria,43176,812,214
12/08/2022,Arlington,63442,1265,358
12/08/2022,Fairfax,252162,5169,1710
12/08/2022,Loudoun,92241,1839,424
12/08/2022,Prince William,136383,4112,906
12/07/2022,Alexandria,43130,812,214
12/07/2022,Arlington,63388,1264,358
12/07/2022,Fairfax,251849,5156,1706
12/07/2022,Loudoun,92139,1841,424
12/07/2022,Prince William,136255,4110,906
12/06/2022,Alexandria,43076,812,214
12/06/2022,Arlington,63318,1263,357
12/06/2022,Fairfax,251596,5153,1704
12/06/2022,Loudoun,92045,1837,424
12/06/2022,Prince William,136141,4110,906
12/05/2022,Alexandria,43046,811,214
12/05/2022,Arlington,63276,1260,356
12/05/2022,Fairfax,251405,5149,1702
12/05/2022,Loudoun,91939,1834,424
12/05/2022,Prince William,136035,4109,907
12/04/2022,Alexandria,43033,810,214
12/04/2022,Arlington,63257,1260,356
12/04/2022,Fairfax,251278,5149,1702
12/04/2022,Loudoun,91897,1834,424
12/04/2022,Prince William,135980,4109,907
12/03/2022,Alexandria,43004,810,214
12/03/2022,Arlington,63220,1260,356
12/03/2022,Fairfax,251103,5149,1702
12/03/2022,Loudoun,91839,1834,424
12/03/2022,Prince William,135905,4108,907
12/02/2022,Alexandria,42986,810,214
12/02/2022,Arlington,63163,1260,356
12/02/2022,Fairfax,250884,5143,1698
12/02/2022,Loudoun,91758,1831,424
12/02/2022,Prince William,135820,4108,905
12/01/2022,Alexandria,42939,810,213
12/01/2022,Arlington,63101,1259,356
12/01/2022,Fairfax,250606,5133,1696
12/01/2022,Loudoun,91669,1824,424
12/01/2022,Prince William,135704,4107,904
11/30/2022,Alexandria,42900,810,213
11/30/2022,Arlington,63023,1251,352
11/30/2022,Fairfax,250306,5133,1696
11/30/2022,Loudoun,91583,1824,424
11/30/2022,Prince William,135537,4107,904
11/29/2022,Alexandria,42861,809,213
11/29/2022,Arlington,62961,1249,352
11/29/2022,Fairfax,250034,5122,1694
11/29/2022,Loudoun,91469,1814,424
11/29/2022,Prince William,135449,4107,903
11/28/2022,Alexandria,42828,808,213
11/28/2022,Arlington,62893,1248,351
11/28/2022,Fairfax,249739,5123,1690
11/28/2022,Loudoun,91375,1814,424
11/28/2022,Prince William,135317,4108,903
11/27/2022,Alexandria,42817,808,213
11/27/2022,Arlington,62858,1248,351
11/27/2022,Fairfax,249600,5123,1690
11/27/2022,Loudoun,91321,1814,424
11/27/2022,Prince William,135263,4108,903
11/26/2022,Alexandria,42795,808,213
11/26/2022,Arlington,62822,1248,351
11/26/2022,Fairfax,249501,5122,1690
11/26/2022,Loudoun,91266,1814,424
11/26/2022,Prince William,135232,4108,903
11/25/2022,Alexandria,42774,808,213
11/25/2022,Arlington,62789,1248,350
11/25/2022,Fairfax,249394,5122,1690
11/25/2022,Loudoun,91229,1814,424
11/25/2022,Prince William,135190,4108,903
11/23/2022,Alexandria,42730,808,213
11/23/2022,Arlington,62726,1248,350
11/23/2022,Fairfax,249137,5118,1688
11/23/2022,Loudoun,91123,1812,423
11/23/2022,Prince William,135085,4109,902
11/22/2022,Alexandria,42695,808,213
11/22/2022,Arlington,62688,1246,350
11/22/2022,Fairfax,248935,5117,1688
11/22/2022,Loudoun,91060,1811,423
11/22/2022,Prince William,135005,4110,902
11/21/2022,Alexandria,42677,808,212
11/21/2022,Arlington,62667,1245,350
11/21/2022,Fairfax,248815,5113,1686
11/21/2022,Loudoun,91016,1804,423
11/21/2022,Prince William,134937,4109,901
11/20/2022,Alexandria,42666,808,212
11/20/2022,Arlington,62642,1245,350
11/20/2022,Fairfax,248744,5113,1686
11/20/2022,Loudoun,90987,1804,423
11/20/2022,Prince William,134904,4109,901
11/19/2022,Alexandria,42646,808,212
11/19/2022,Arlington,62621,1245,350
11/19/2022,Fairfax,248658,5112,1686
11/19/2022,Loudoun,90958,1804,423
11/19/2022,Prince William,134869,4109,901
11/18/2022,Alexandria,42613,808,211
11/18/2022,Arlington,62570,1244,350
11/18/2022,Fairfax,248516,5109,1684
11/18/2022,Loudoun,90918,1804,422
11/18/2022,Prince William,134815,4109,899
11/17/2022,Alexandria,42581,808,211
11/17/2022,Arlington,62535,1243,349
11/17/2022,Fairfax,248346,5107,1684
11/17/2022,Loudoun,90850,1803,422
11/17/2022,Prince William,134728,4110,899
11/16/2022,Alexandria,42559,808,211
11/16/2022,Arlington,62512,1239,348
11/16/2022,Fairfax,248211,5094,1683
11/16/2022,Loudoun,90798,1799,422
11/16/2022,Prince William,134681,4111,899
11/15/2022,Alexandria,42547,808,211
11/15/2022,Arlington,62475,1238,348
11/15/2022,Fairfax,248068,5086,1683
11/15/2022,Loudoun,90755,1798,422
11/15/2022,Prince William,134631,4111,897
11/11/2022,Alexandria,42491,808,211
11/11/2022,Arlington,62376,1237,347
11/11/2022,Fairfax,247664,5081,1683
11/11/2022,Loudoun,90606,1797,422
11/11/2022,Prince William,134455,4112,897
11/10/2022,Alexandria,42468,808,211
11/10/2022,Arlington,62339,1237,347
11/10/2022,Fairfax,247441,5079,1683
11/10/2022,Loudoun,90533,1797,422
11/10/2022,Prince William,134377,4117,897
11/09/2022,Alexandria,42443,809,211
11/09/2022,Arlington,62305,1237,347
11/09/2022,Fairfax,247308,5076,1683
11/09/2022,Loudoun,90457,1795,422
11/09/2022,Prince William,134311,4121,897
11/08/2022,Alexandria,42426,808,211
11/08/2022,Arlington,62270,1237,347
11/08/2022,Fairfax,247183,5076,1683
11/08/2022,Loudoun,90414,1795,422
11/08/2022,Prince William,134256,4121,897
11/07/2022,Alexandria,42411,808,211
11/07/2022,Arlington,62248,1238,347
11/07/2022,Fairfax,247096,5072,1683
11/07/2022,Loudoun,90374,1793,422
11/07/2022,Prince William,134221,4120,897
11/06/2022,Alexandria,42400,808,211
11/06/2022,Arlington,62233,1238,347
11/06/2022,Fairfax,247008,5071,1683
11/06/2022,Loudoun,90340,1793,422
11/06/2022,Prince William,134188,4120,897
11/05/2022,Alexandria,42379,807,211
11/05/2022,Arlington,62199,1238,347
11/05/2022,Fairfax,246901,5071,1683
11/05/2022,Loudoun,90290,1793,422
11/05/2022,Prince William,134135,4120,897
11/04/2022,Alexandria,42356,807,211
11/04/2022,Arlington,62170,1238,347
11/04/2022,Fairfax,246752,5070,1683
11/04/2022,Loudoun,90247,1793,422
11/04/2022,Prince William,134088,4120,897
11/03/2022,Alexandria,42334,807,210
11/03/2022,Arlington,62130,1234,347
11/03/2022,Fairfax,246598,5067,1683
11/03/2022,Loudoun,90194,1791,422
11/03/2022,Prince William,134029,4122,897
11/02/2022,Alexandria,42307,806,210
11/02/2022,Arlington,62093,1234,347
11/02/2022,Fairfax,246434,5066,1683
11/02/2022,Loudoun,90156,1786,422
11/02/2022,Prince William,133964,4120,897
11/01/2022,Alexandria,42290,806,210
11/01/2022,Arlington,62075,1234,347
11/01/2022,Fairfax,246298,5065,1683
11/01/2022,Loudoun,90103,1785,421
11/01/2022,Prince William,133928,4121,897
10/31/2022,Alexandria,42274,806,210
10/31/2022,Arlington,62045,1230,344
10/31/2022,Fairfax,246183,5058,1681
10/31/2022,Loudoun,90062,1785,421
10/31/2022,Prince William,133884,4121,897
10/30/2022,Alexandria,42263,806,210
10/30/2022,Arlington,62022,1230,344
10/30/2022,Fairfax,246081,5057,1681
10/30/2022,Loudoun,90037,1785,421
10/30/2022,Prince William,133844,4121,897
